Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Unit price,Total price,,Component,Price
1,"D19,D18,D22,D25,D21,D23,D24,D26,D17,D20",LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm,10,LED,https://www.aliexpress.us/item/3256802958597906.html?spm=a2g0o.productlist.main.17.5cc012b2JUNoxb&algo_pvid=18ade842-9c4d-46f5-9020-a6264ce3a351&algo_exp_id=18ade842-9c4d-46f5-9020-a6264ce3a351-16&pdp_ext_f=%7B%22order%22%3A%221936%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.33%210.99%21%21%211.33%210.99%21%402101f54117771528115178500e926f%2112000024337656011%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ohG4jBXOPzrI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003144912658%7C_p_origin_prod%3A,$0.99,$0.99,,LED,$0.99
2,"SW9,SW15,SW14,SW4,SW8,SW2,SW16,SW5,SW13,SW10,SW1,SW6,SW3,SW11,SW7,SW12",SW_Cherry_MX_1.00u_PCB,16,SW_Push,Kailh Mechanical Key Switches - Clicky White - 10 pack [Cherry MX White Compatible],$0.70,$12.65,,Key Switches,$12.65
3,"R10,R7,R2,R6,R5,R9,R8,R3,R1,R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,10,220Ω,https://www.aliexpress.us/item/3256811723963477.html?spm=a2g0o.productlist.main.42.75ef3dd14GYYV0&aem_p4p_detail=20260425143410119849486879360001853716&algo_pvid=29fe5a74-6d4a-4f3c-bded-00ed547951e4&algo_exp_id=29fe5a74-6d4a-4f3c-bded-00ed547951e4-39&pdp_ext_f=%7B%22order%22%3A%2281%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.92%210.92%21%21%210.92%210.92%21%402101e83017771528504342800eb79f%2112000056987702174%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895&curPageLogUid=wIeZ0ZQDNPS2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011910278229%7C_p_origin_prod%3A&search_p4p_id=20260425143410119849486879360001853716_11,$0.99,$0.99,,Resistor,$0.99
4,A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,https://www.sparkfun.com/raspberry-pi-pico.html?src=raspberrypii,$4.60,$4.60,,Raspberry pi_pico,$4.60
5,U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100,Adafruit PCM5100 I2S DAC with Line Level Output - 100dB SNR,$3.95,$3.95,,PCM5100,$3.95
6,SW17,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,Aliexpress Rotary,$0.99,$0.99,,Rotary Encoder,$0.99
7,"D12,D11,D8,D7,D13,D3,D6,D16,D10,D15,D14,D4,D1,D9,D2,D5",D_0201_0603Metric_Pad0.64x0.40mm_HandSolder,16,D,Aliexpress Diode,$0.11,$2.10,,Diodes,$2.10
,,,,,,,,,PCB,$18.20
,,,,,,,,,Shipping,$22.19
,,,,,,,,,Total,$65.67
